"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/MultilabelAUROC","test/cmAP5"
"module.network.model_name: bird_aves","PER","","bird_aves","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""bird_aves""]","","just_cls","0.5735034346580505","0.03821628913283348"
"module.network.model_name: surfperch","UHH","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch""]","","","0.7262489795684814","0.14483928680419922"
"module.network.model_name: surfperch","NES","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch""]","","","0.86850506067276","0.2106340229511261"
"module.network.model_name: aves","POW","","aves","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""aves"",""validation"",""POW""]","","attentive","0.7118238806724548","0.18915045261383057"
"module.network.model_name: audio_mae","SSW","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""audio_mae""]","","attentive","0.839085042476654","0.21743044257164"
"module.network.model_name: bird_aves","POW","","bird_aves","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""bird_aves"",""validation"",""POW""]","","attentive","0.7596291303634644","0.2514110505580902"
"module.network.model_name: eat_ssl","SNE","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""eat_ssl""]","","attentive","0.7825237512588501","0.19546398520469663"
"module.network.model_name: audio_mae","NES","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""audio_mae""]","","attentive","0.860994815826416","0.25724923610687256"
"module.network.model_name: audio_mae","NBP","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""audio_mae""]","","attentive","0.83896803855896","0.4535493552684784"
"module.network.model_name: eat_ssl","SSW","","eat_ssl","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""eat_ssl""]","","attentive","0.8566420078277588","0.17315007746219635"
"module.network.model_name: audio_mae","SNE","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""audio_mae""]","","attentive","0.7860292792320251","0.20363689959049225"
"module.network.model_name: audio_mae","HSN","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""audio_mae""]","","attentive","0.8308421969413757","0.2965877950191498"
"module.network.model_name: audio_mae","UHH","","audio_mae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""audio_mae""]","","attentive","0.820702314376831","0.20248565077781677"
